City,Latitude,Longitude,AQI
Delhi,28.6517178,77.2219388,5
Chandigarh,30.7334421,76.7797143,5
Shimla,31.1041526,77.1709729,3
Dehradun,30.3255646,78.0436813,4
Lucknow,26.8381,80.9346001,5
Jaipur,26.9154576,75.8189817,5
Bhopal,23.2584857,77.401989,3
Raipur,21.2380912,81.6336993,5
Mumbai,19.0785451,72.878176,5
Ahmedabad,23.0216238,72.5797068,5
Pune,18.521428,73.8544541,5
Panaji,15.4989946,73.8282141,4
Bangalore,12.9767936,77.590082,4
Chennai,13.0836939,80.270186,5
Hyderabad,17.360589,78.4740613,5
Thiruvananthapuram,8.4882267,76.947551,3
Kolkata,22.5414185,88.35769124388872,5
Bhubaneswar,20.2602964,85.8394521,5
Ranchi,23.3700501,85.3250387,5
Patna,25.6093239,85.1235252,5
Guwahati,26.1805978,91.753943,5
Shillong,25.5760446,91.8825282,2
Imphal,24.7991162,93.9364419,3
Agartala,23.8312377,91.2823821,4
Itanagar,27.0979659,93.6237291,2
Aizawl,23.7435236,92.7382905,2
Kohima,25.6618755,94.1019156,3
Gangtok,27.329046,88.6122673,3
Puducherry,11.9340568,79.8306447,3
Port Blair,11.6645348,92.7390448,2
Leh,34.1642029,77.5848133,2
Srinagar,34.0747444,74.8204443,3
Kavaratti,10.5672203,72.6394636,3
Daman,20.42000485,72.86376290300566,5
